,Player Name,Seasons in NBA,First Season Played,Last Season Played
1290,Jerome Whitehead,11,1979,1989
1291,Donald Whiteside,2,1997,1998
1292,Jeff Wilkins,6,1981,1986
1293,Aaron Williams,14,1994,2008
1294,Frank Williams,3,2003,2005
1295,Justin Williams,2,2007,2008
1296,Mike Williams,1,1990,1990
1297,Voise Winters,1,1986,1986
1298,Julian Wright,4,2008,2011
1299,Tom Abernethy,5,1977,1981
1300,Steve Alford,4,1988,1991
1301,Curly Armstrong,3,1949,1951
1302,Dick Atha,2,1956,1958
1303,Chet Aubuchon,1,1947,1947
1304,Desmond Bane,2,2021,2022
1305,Cliff Barker,3,1950,1952
1306,Dick Barnett,14,1960,1974
1307,Leo Barnhorst,5,1950,1954
1308,Kent Benson,11,1978,1988
1309,Larry Bird,13,1980,1992
1310,Ron Bonham,3,1965,1968
1311,Vince Boryla,5,1950,1954
1312,Jim Bradley,3,1974,1976
1313,Junior Bridgeman,12,1976,1987
1314,Roger Burkman,1,1982,1982
1315,Don Buse,13,1973,1985
1316,Devin Cannady,2,2021,2022
1317,Calbert Cheaney,13,1994,2006
1318,Robert Churchwell,1,1996,1996
1319,Louie Dampier,12,1968,1979
1320,Jim Davis,8,1968,1975
