Player Name,Season,Salary
Lindsey Hunter,2001-02,3425760.0
Malik Rose,2001-02,2285000.0
Vince Carter,2001-02,3073032.0
Jonathan Bender,2001-02,2546760.0
Dell Curry,2001-02,2100000.0
Robert Traylor,2001-02,2793505.0
Othella Harrington,2001-02,2475000.0
Wally Szczerbiak,2001-02,2313240.0
Terry Porter,2001-02,2400000.0
Rodney Rogers,2001-02,2400000.0
Jamie Feick,2001-02,2400000.0
Eric Montross,2001-02,2480000.0
Chris Crawford,2001-02,2500000.0
Steve Kerr,2001-02,2406250.0
Vinny Del Negro,2001-02,2275000.0
Sean Rooks,2001-02,2400000.0
Lucious Harris,2001-02,2400000.0
Jason Williams,2001-02,2554072.0
Richard Hamilton,2001-02,2111640.0
Larry Hughes,2001-02,2343635.0
Andre Miller,2001-02,1934520.0
Dirk Nowitzki,2001-02,2157595.0
Shawn Marion,2001-02,1778160.0
Paul Pierce,2001-02,2051271.0
Jason Terry,2001-02,1689360.0
Bonzi Wells,2001-02,2028239.0
Trajan Langdon,2001-02,1604880.0
Aleksandar Radojevic,2001-02,1524600.0
Keon Clark,2001-02,1971163.0
Corey Maggette,2001-02,1448400.0
Michael Dickerson,2001-02,1940702.0
Matt Harpring,2001-02,1908401.0
Eldridge Recasner,2001-02,1300000.0
Metta World Peace,2001-02,1241760.0
Cal Bowdler,2001-02,1179720.0
James Posey,2001-02,1120680.0
Pat Garrity,2001-02,1569691.0
Quincy Lewis,2001-02,1070280.0
Roshown McLeod,2001-02,1509001.0
