,player,Year,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
curlebi01DET,Bill Curley,1995,PF,22,DET,53,595,9.0,.477,.000,.269,10.6,13.9,12.2,6.2,1.8,2.6,14.3,13.2,,0.1,0.4,0.5,.042,,-5.0,-0.2,-5.2,-0.5
curryde01CHH,Dell Curry,1995,SG,30,CHH,69,1718,15.5,.565,.464,.143,3.0,8.4,5.8,11.5,1.7,0.8,10.6,24.9,,1.6,1.7,3.3,.093,,2.1,-0.6,1.5,1.5
daniell01TOT,Lloyd Daniels,1995,SG,27,TOT,30,604,9.7,.471,.478,.129,5.3,6.3,5.8,9.7,1.8,1.1,12.3,18.1,,-0.1,0.3,0.2,.019,,-1.9,-1.2,-3.1,-0.2
daniell01PHI,Lloyd Daniels,1995,SG,27,PHI,5,63,3.1,.412,.519,.074,3.7,9.3,6.5,10.6,1.7,0.0,22.3,25.4,,-0.2,0.0,-0.2,-0.145,,-6.6,-3.2,-9.8,-0.1
daniell01LAL,Lloyd Daniels,1995,SG,27,LAL,25,541,10.4,.479,.473,.137,5.5,5.9,5.7,9.6,1.9,1.3,10.6,17.2,,0.1,0.3,0.4,.038,,-1.4,-1.0,-2.3,0.0
dareyi01NJN,Yinka Dare,1995,C,22,NJN,1,3,-33.9,.000,.000,.000,0.0,36.6,18.2,0.0,0.0,0.0,50.0,29.3,,-0.1,0.0,0.0,-0.736,,-40.6,-3.9,-44.6,0.0
davisan01IND,Antonio Davis,1995,PF,26,IND,44,1030,11.9,.521,.000,.710,12.6,20.1,16.4,3.7,1.0,2.2,16.6,17.1,,0.5,1.5,2.0,.095,,-2.5,-0.3,-2.8,-0.2
davisda01IND,Dale Davis,1995,PF,25,IND,74,2346,16.1,.570,.002,.450,13.6,22.1,17.9,4.0,1.6,3.8,15.2,15.9,,2.6,4.3,6.8,.140,,0.1,0.8,0.9,1.7
davishu01NYK,Hubert Davis,1995,SG,24,NYK,82,1697,14.7,.612,.467,.194,2.2,5.3,3.8,15.2,1.1,0.5,11.5,20.4,,3.1,1.7,4.8,.136,,2.3,-0.2,2.1,1.8
daviste01DAL,Terry Davis,1995,PF,27,DAL,46,580,8.1,.493,.018,.584,11.1,18.3,14.5,2.4,0.5,0.4,17.4,12.2,,0.1,0.4,0.5,.039,,-4.2,-1.6,-5.8,-0.6
